document,alpha_nominal_primary
9gag,0.6259
Academia,0.8524
Airbnb,0.564
Amazon,0.6436
Atlas,0.6301
Betterpoints_UK,0.5226
Booking,0.5994
Crowdtangle,0.7639
Deliveroo,0.6252
Dropbox,0.8249
Duolingo,0.812
Endomondo,0.5436
Evernote,0.845
Facebook,0.6747
Fitbit,0.7544
Google,0.6273
Headspace,0.7076
Instagram,0.6722
LindenLab,0.8236
LinkedIn,0.8272
Masquerade,0.8604
Microsoft,0.6795
Moves-app,0.7609
Netflix,0.5803
Nintendo,0.7602
Oculus,0.8211
Onavo,0.8122
PokemonGo,0.8515
Rovio,0.7566
Skype,0.6318
Skyscanner,0.7955
Snap,0.7803
Spotify,0.827
Supercell,0.7257
Syncme,0.828
Tinder,0.7483
TripAdvisor,0.7065
TrueCaller,0.7238
Twitter,0.6182
Uber,0.8481
Viber,0.8689
Vimeo,0.8494
Vivino,0.7731
WhatsApp,0.7235
WorldOfWarcraft,0.6568
Yahoo,0.7122
YouTube,0.849
Zynga,0.7333
eBay,0.6718
musically,0.7309
